dataset_id	accession	species	tissue_or_scope	priority	status	filename	file_type	url	matrix_like
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_11_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_11_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_12_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_12_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_1_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_1_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_20_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_20_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_21_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_21_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_25_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_25_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_30_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_30_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_31_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_31_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_36_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_36_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_37_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_37_COPILOT.rds.gz	True
